Word,Frequency,Example Context
possessing,4,"Possessing the skill, courage, or strength to perform a task well."
thaka,4,"motsoalle, thaka"
bolela,4,"ho bolela, ho ipolela"
eang,4,"e tiileng, ea eang ka tseo a ipolelang ka tsona"
phapano,4,"khano, phapano"
eletsa,4,keletso; morero; muelli; v. ho eletsa
protect,4,A piece of fabric used to conceal or protect a sacred object from view.
booi,4,"lekuala, ea booi, leperere; a great coward, lebeha"
existence,4,bring (something) into existence
harm,4,A solemn utterance intended to invoke a supernatural power to inflict harm or punishment on someone.
lefifi,4,"lefifi, botšo; lefifi la nko, bonkantjana (pitch blackness)"
boitsebiso,4,bobolokelo-boitsebiso
tšolla,4,ho tšolla hantle; (beer) ho vokola
botebo,4,"ho eketsa botebo, ho tebisa"
noka,4,chelete e sinoang bankeng; letšopa la noka
tepella,4,ho tepella maikutlo
maikutlo,4,ho tepella maikutlo
feela,4,"e feela, e mong"
kill,4,(to send) ho ruma; (to do quickly) ho sebetsa ka ho akofa; (to kill) ho bolaea; n. lengolo la 'muso
fela,4,"ho fela pelo, ho ntsofala pelo, ho tepella"
moisture,4,Atmospheric moisture that condenses on plants at night; vital for agriculture in Canaan.
tšoaneng,4,"e sele, e sa tšoaneng"
tsamaiso,4,"tsamaiso, tiso"
lekaneng,4,"e sa lekaneng, e sa tšoaneng, e fetanang"
travel,4,The distance an arrow can travel when shot from a bow.
hold,4,To hold sway or authority over.
hula,4,"ho hula, ho hulanya; drag along the ground: ho hulanya fatše"
mobu,4,lefatše; (soil) mobu
bonolo,4,"e bobebe, e bonolo"
similar,4,"The style of engraving used for the stones and the gold plate, similar to a signet ring."
opposed,4,The state or feeling of being actively opposed or hostile to someone or something.
mona,4,ea nang le mona
bong,4,e lekaneng; (n) ea boholo bo le bong le e mong
jacob,4,The twin brother of Jacob and the ancestor of the Edomites.
requirement,4,The requirement of total and singular loyalty to God.
within,4,Groups of people related by blood; clans within a tribe.
denoting,4,of or denoting the sex that can bear offspring or produce eggs
homphieutha,4,folofoshe; ntho ea ho boloka boitsebiso ba k'homphieutha.
substance,4,the soft substance consisting of muscle and fat that is found between the skin and bones of an animal or a human
mahlale,4,mochini o monyenyane oa mahlale (sesebediswa).
flowers,4,"a piece of ground, adjoining a house, used for growing flowers, fruit, or vegetables"
title,4,A title for God (El Shaddai) emphasizing His self-sufficiency and power to bless.
shaped,4,"Metal that has been shaped by repeated blows from a hammer, indicating craftsmanship and strength."
journey,4,Severe suffering or privation; difficulties encountered during a journey.
expanse,4,The expanse over the earth; the sky or the dwelling place of God.
immense,4,A hundred times the original amount; an immense harvest.
representation,4,a representation of external form; likeness
lack,4,A state of moral uprightness or lack of knowing intent to commit a fault.
intent,4,A state of moral uprightness or lack of knowing intent to commit a fault.
involving,4,A ritual and physical impurity involving skin deterioration or spreading fungus in materials.
regarding,4,"Healthy, strong, and capable of quick action (specifically regarding labor and birth)."
droplets,4,a cloud of tiny water droplets suspended in the atmosphere at or near the earth's surface that limits visibility
suspended,4,a cloud of tiny water droplets suspended in the atmosphere at or near the earth's surface that limits visibility
carried,4,"A clay vessel for water, usually carried on the shoulder (lehetla)."
acts,4,A spokesman for God who also acts as an intercessor for others.
providing,4,The act of providing or preparing what is necessary beforehand.
